SPECTRUM DATA FILE
SpectrumCount:	10
PixelCount:	2500
UserName:	Atto
SampleName:	
LightSource:	
Comments:	
DeviceName:	Qmini
DeviceManufacturer:	RGB Photonics
DeviceSerialNo:	20020

Name:	input1_2	input1_1	input1_0	input0_9	input0_8	input0_7	input0_6	input0_5	input0_4	input0_3
Date:	2022-02-16T14:35:49.0865719+00:00	2022-02-16T14:37:41.3886999+00:00	2022-02-16T14:39:40.1929287+00:00	2022-02-16T14:40:46.5946066+00:00	2022-02-16T14:41:45.1953320+00:00	2022-02-16T14:42:53.9984644+00:00	2022-02-16T14:43:47.8998228+00:00	2022-02-16T14:44:49.8006079+00:00	2022-02-16T14:46:07.6025769+00:00	2022-02-16T14:47:17.8047664+00:00
ExposureTime:	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
TemporalAvg:	5	5	5	5	5	5	5	5	5	5
IntensityUnit:	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue
CCDLoadLevel:	0.1333683	0.122907	0.1094962	0.09269594	0.0801761	0.06888603	0.06179233	0.05199446	0.04075538	0.0296274
Temperature:	23.31226	23.31226	23.41406	23.41406	23.41406	23.41406	23.41406	23.41406	23.41406	23.31226
DiagramColor:	16711680	200	49152	16711935	42495	12632064	3368611	53970	65280	255
ProcessingSteps:	783	783	783	783	783	783	783	783	783	783

Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10
233.9419	-9.541862	-22.74226	21.63371	-9.275406	-17.62614	-6.531265	-12.06883	9.033064	-19.42384	-3.745354
234.2839	-12.075	-7.477645	15.44862	-11.27778	-20.44114	-4.605695	-20.08	14.10875	-27.37654	-13.79226
234.626	-13.26111	3.832335	11.8216	-7.682017	-5.133195	-9.740186	-11.59103	5.51858	-21.46027	-13.45479
234.968	-26.40113	-4.760786	-7.39997	0.7668861	1.11731	1.187342	-5.246214	-6.94679	-20.02684	-12.6928
235.31	-25.34652	-3.118073	-6.708705	7.037874	5.53459	2.233258	-5.153455	-19.74806	-3.938374	-3.977316
235.652	-16.5416	-12.80658	-1.172626	16.49535	5.607704	10.50038	-11.68552	-16.34352	-5.092147	-4.075628
235.994	-2.745277	-15.13788	-2.921926	10.85982	-12.14651	14.2228	-2.207859	4.283679	-5.001117	4.932059
236.336	-4.988728	-24.34975	11.69992	0.4013412	-13.83983	3.75646	3.014136	22.26508	-20.4654	10.35575
236.678	-8.297042	-0.7280998	20.23433	6.674235	-6.96063	-4.985497	1.6087	12.1655	-17.28986	-9.172601
237.02	-11.48561	3.330354	14.1748	11.21906	-2.522326	-5.417584	0.9011312	4.493845	-45.39169	-25.37621
237.3619	-2.321983	2.568251	-0.2354354	15.2966	-3.147862	-18.53104	11.15602	-4.508572	-38.61377	-14.38185
237.7039	-10.64668	-6.613266	3.180123	-0.6556602	11.64234	-17.42973	3.123707	-4.052062	-26.13848	-7.703502
238.0459	-11.313	-11.45466	9.055427	-9.397399	16.98788	5.133853	-8.499372	-5.896371	-1.201764	-0.3554542
